epoch,step,test_dataset_iou,test_per_image_iou,train_dataset_iou,train_per_image_iou,valid_dataset_iou,valid_per_image_iou
0,59,,,,,0.4609629511833191,0.40700656175613403
0,59,,,0.2399243414402008,0.21892628073692322,,
1,119,,,,,0.5540708303451538,0.468333899974823
1,119,,,0.3318217694759369,0.31531283259391785,,
2,179,,,,,0.697140634059906,0.6021515727043152
2,179,,,0.5980752110481262,0.47339656949043274,,
3,239,,,,,0.6986925601959229,0.604478120803833
3,239,,,0.5992860794067383,0.4959699809551239,,
4,299,,,,,0.7063624262809753,0.61414635181427
4,299,,,0.6115593314170837,0.5127856135368347,,
5,300,,,,,0.7063624262809753,0.61414635181427
5,300,0.6866263747215271,0.6147006154060364,,,,
